Day,No,test,treat,pH,EC
2022/3/17,1,P,0P,,
2022/3/17,2,P,0P,,
2022/3/17,3,P,0P,,
2022/3/17,4,P,0P,,
2022/3/17,9,P,6P,,
2022/3/17,10,P,6P,,
2022/3/17,11,P,6P,,
2022/3/17,12,P,6P,,
2022/3/17,17,P,30P,,
2022/3/17,18,P,30P,,
2022/3/17,19,P,30P,,
2022/3/17,20,P,30P,,
2022/3/17,25,P,60P,,
2022/3/17,26,P,60P,,
2022/3/17,27,P,60P,,
2022/3/17,28,P,60P,,
2022/3/17,33,P,Ca_P,,
2022/3/17,34,P,Ca_P,,
2022/3/17,35,P,Ca_P,,
2022/3/17,36,P,Ca_P,,
2022/3/17,41,P,Fe_P,,
2022/3/17,42,P,Fe_P,,
2022/3/17,43,P,Fe_P,,
2022/3/17,44,P,Fe_P,,
2022/3/17,49,P,Al_P,,
2022/3/17,50,P,Al_P,,
2022/3/17,51,P,Al_P,,
2022/3/17,52,P,Al_P,,
2022/3/24,1,P,0P,,
2022/3/24,2,P,0P,,
2022/3/24,3,P,0P,,
2022/3/24,4,P,0P,,
2022/3/24,9,P,6P,,
2022/3/24,10,P,6P,,
2022/3/24,11,P,6P,,
2022/3/24,12,P,6P,,
2022/3/24,17,P,30P,,
2022/3/24,18,P,30P,,
2022/3/24,19,P,30P,,
2022/3/24,20,P,30P,,
2022/3/24,25,P,60P,,
2022/3/24,26,P,60P,,
2022/3/24,27,P,60P,,
2022/3/24,28,P,60P,,
2022/3/24,33,P,Ca_P,,
2022/3/24,34,P,Ca_P,,
2022/3/24,35,P,Ca_P,,
2022/3/24,36,P,Ca_P,,
2022/3/24,41,P,Fe_P,,
2022/3/24,42,P,Fe_P,,
2022/3/24,43,P,Fe_P,,
2022/3/24,44,P,Fe_P,,
2022/3/24,49,P,Al_P,,
2022/3/24,50,P,Al_P,,
2022/3/24,51,P,Al_P,,
2022/3/24,52,P,Al_P,,
2022/3/24,BC_1,BC,Control,,
2022/3/24,BC_2,BC,Control,,
2022/3/24,BC_3,BC,Control,,
2022/3/24,BC_4,BC,Control,,
2022/3/24,BC_5,BC,Chaff_10,,
2022/3/24,BC_6,BC,Chaff_10,,
2022/3/24,BC_7,BC,Chaff_10,,
2022/3/24,BC_8,BC,Chaff_10,,
2022/3/24,BC_9,BC,Tea_10,,
2022/3/24,BC_10,BC,Tea_10,,
2022/3/24,BC_11,BC,Tea_10,,
2022/3/24,BC_12,BC,Tea_10,,
2022/3/24,BC_13,BC,Tea_30,,
2022/3/24,BC_14,BC,Tea_30,,
2022/3/24,BC_15,BC,Tea_30,,
2022/3/24,BC_16,BC,Tea_30,,
2022/3/31,1,P,0P,,
2022/3/31,2,P,0P,,
2022/3/31,3,P,0P,,
2022/3/31,4,P,0P,,
2022/3/31,9,P,6P,,
2022/3/31,10,P,6P,,
2022/3/31,11,P,6P,,
