date,date2,lx,tenp
2022/3/11,2022/3/11,,
2022/3/11,2022/3/11,,
2022/3/11,2022/3/11,,
2022/3/11,2022/3/11,,
2022/3/11,2022/3/11,,
2022/3/11,2022/3/11,,
2022/3/11,2022/3/11,,
2022/3/11,2022/3/11,,
2022/3/11,2022/3/11,,
2022/3/11,2022/3/11,,
2022/3/11,2022/3/11,,
2022/3/12,2022/3/12,,
2022/3/12,2022/3/12,,
2022/3/12,2022/3/12,,
2022/3/12,2022/3/12,,
2022/3/12,2022/3/12,,
2022/3/12,2022/3/12,,
2022/3/12,2022/3/12,,
2022/3/12,2022/3/12,,
2022/3/12,2022/3/12,,
2022/3/12,2022/3/12,,
2022/3/12,2022/3/12,,
2022/3/12,2022/3/12,,
2022/3/12,2022/3/12,,
2022/3/12,2022/3/12,,
2022/3/12,2022/3/12,,
2022/3/12,2022/3/12,,
2022/3/12,2022/3/12,,
2022/3/12,2022/3/12,,
2022/3/12,2022/3/12,,
2022/3/12,2022/3/12,,
2022/3/12,2022/3/12,,
2022/3/12,2022/3/12,,
2022/3/12,2022/3/12,,
2022/3/12,2022/3/12,,
2022/3/13,2022/3/13,,
2022/3/13,2022/3/13,,
2022/3/13,2022/3/13,,
2022/3/13,2022/3/13,,
2022/3/13,2022/3/13,,
2022/3/13,2022/3/13,,
2022/3/13,2022/3/13,,
2022/3/13,2022/3/13,,
2022/3/13,2022/3/13,,
2022/3/13,2022/3/13,,
2022/3/13,2022/3/13,,
2022/3/13,2022/3/13,,
2022/3/13,2022/3/13,,
2022/3/13,2022/3/13,,
2022/3/13,2022/3/13,,
2022/3/13,2022/3/13,,
2022/3/13,2022/3/13,,
2022/3/13,2022/3/13,,
2022/3/13,2022/3/13,,
2022/3/13,2022/3/13,,
2022/3/13,2022/3/13,,
2022/3/13,2022/3/13,,
2022/3/13,2022/3/13,,
2022/3/13,2022/3/13,,
2022/3/14,2022/3/14,,
2022/3/14,2022/3/14,,
2022/3/14,2022/3/14,,
2022/3/14,2022/3/14,,
2022/3/14,2022/3/14,,
2022/3/14,2022/3/14,,
2022/3/14,2022/3/14,,
2022/3/14,2022/3/14,,
2022/3/14,2022/3/14,,
2022/3/14,2022/3/14,,
2022/3/14,2022/3/14,,
2022/3/14,2022/3/14,,
2022/3/14,2022/3/14,,
2022/3/14,2022/3/14,,
2022/3/14,2022/3/14,,
2022/3/14,2022/3/14,,
2022/3/14,2022/3/14,,
2022/3/14,2022/3/14,,
2022/3/14,2022/3/14,,
2022/3/14,2022/3/14,,
2022/3/14,2022/3/14,,
2022/3/14,2022/3/14,,
2022/3/14,2022/3/14,,
2022/3/14,2022/3/14,,
2022/3/15,2022/3/15,,
2022/3/15,2022/3/15,,
2022/3/15,2022/3/15,,
2022/3/15,2022/3/15,,
2022/3/15,2022/3/15,,
2022/3/15,2022/3/15,,
2022/3/15,2022/3/15,,
2022/3/15,2022/3/15,,
2022/3/15,2022/3/15,,
2022/3/15,2022/3/15,,
2022/3/15,2022/3/15,,
2022/3/15,2022/3/15,,
2022/3/15,2022/3/15,,
2022/3/15,2022/3/15,,
2022/3/15,2022/3/15,,
2022/3/15,2022/3/15,,
2022/3/15,2022/3/15,,
2022/3/15,2022/3/15,,
2022/3/15,2022/3/15,,
2022/3/15,2022/3/15,,
2022/3/15,2022/3/15,,
2022/3/15,2022/3/15,,
2022/3/15,2022/3/15,,
2022/3/15,2022/3/15,,
2022/3/16,2022/3/16,,
2022/3/16,2022/3/16,,
2022/3/16,2022/3/16,,
2022/3/16,2022/3/16,,
2022/3/16,2022/3/16,,
2022/3/16,2022/3/16,,
2022/3/16,2022/3/16,,
2022/3/16,2022/3/16,,
