Test,Treatment,No.,Soil_area,pH(H2O),pH(KCl),EC
P,+0P,1,Rhizoshere,,,
P,+0P,2,Rhizoshere,,,
P,+0P,3,Rhizoshere,,,
P,+0P,4,Rhizoshere,,,
P,+6P,9,Rhizoshere,,,
P,+6P,10,Rhizoshere,,,
P,+6P,11,Rhizoshere,,,
P,+6P,12,Rhizoshere,,,
P,+30P,17,Rhizoshere,,,
P,+30P,18,Rhizoshere,,,
P,+30P,19,Rhizoshere,,,
P,+30P,20,Rhizoshere,,,
P,+60P,25,Rhizoshere,,,
P,+60P,26,Rhizoshere,,,
P,+60P,27,Rhizoshere,,,
P,+60P,28,Rhizoshere,,,
P,Ca-P,33,Rhizoshere,,,
P,Ca-P,34,Rhizoshere,,,
P,Ca-P,35,Rhizoshere,,,
P,Ca-P,36,Rhizoshere,,,
P,Fe-P,41,Rhizoshere,,,
P,Fe-P,42,Rhizoshere,,,
P,Fe-P,43,Rhizoshere,,,
P,Fe-P,44,Rhizoshere,,,
P,Al-P,49,Rhizoshere,,,
P,Al-P,50,Rhizoshere,,,
P,Al-P,51,Rhizoshere,,,
P,Al-P,52,Rhizoshere,,,
BC,Control,BC.1,Rhizoshere,,,
BC,Control,BC.2,Rhizoshere,,,
BC,Control,BC.3,Rhizoshere,,,
BC,Control,BC.4,Rhizoshere,,,
BC,Chaff,BC.5,Rhizoshere,,,
BC,Chaff,BC.6,Rhizoshere,,,
BC,Chaff,BC.7,Rhizoshere,,,
BC,Chaff,BC.8,Rhizoshere,,,
BC,Tea 10%,BC.9,Rhizoshere,,,
BC,Tea 10%,BC.10,Rhizoshere,,,
BC,Tea 10%,BC.11,Rhizoshere,,,
BC,Tea 10%,BC.12,Rhizoshere,,,
BC,Tea 30%,BC.13,Rhizoshere,,,
BC,Tea 30%,BC.14,Rhizoshere,,,
BC,Tea 30%,BC.15,Rhizoshere,,,
BC,Tea 30%,BC.16,Rhizoshere,,,
P,+0P,5,Soil_culture_area,,,
P,+0P,6,Soil_culture_area,,,
P,+0P,7,Soil_culture_area,,,
P,+0P,8,Soil_culture_area,,,
P,+6P,13,Soil_culture_area,,,
P,+6P,14,Soil_culture_area,,,
P,+6P,15,Soil_culture_area,,,
P,+6P,16,Soil_culture_area,,,
P,+30P,21,Soil_culture_area,,,
P,+30P,22,Soil_culture_area,,,
P,+30P,23,Soil_culture_area,,,
P,+30P,24,Soil_culture_area,,,
P,+60P,29,Soil_culture_area,,,
P,+60P,30,Soil_culture_area,,,
P,+60P,31,Soil_culture_area,,,
P,+60P,32,Soil_culture_area,,,
P,Ca-P,37,Soil_culture_area,,,
P,Ca-P,38,Soil_culture_area,,,
P,Ca-P,39,Soil_culture_area,,,
P,Ca-P,40,Soil_culture_area,,,
P,Fe-P,45,Soil_culture_area,,,
P,Fe-P,46,Soil_culture_area,,,
P,Fe-P,47,Soil_culture_area,,,
P,Fe-P,48,Soil_culture_area,,,
P,Al-P,53,Soil_culture_area,,,
P,Al-P,54,Soil_culture_area,,,
P,Al-P,55,Soil_culture_area,,,
P,Al-P,56,Soil_culture_area,,,
